gene.name	log2fc	fdr	padj
PSN0001	0.516101487	5.960223333	0.13396466
PSN0001	0.4183377	20.65671475	0.577238328
PSN0001	0.381746424	21.99751991	0.887833418
PSN0001	0.671485723	2.338830566	0.704290778
PSN0001	0.672290309	2.59164038	0.318455776
PSN0001	0.401604375	26.6947784	0.636941489
PSN0001	0.451131296	13.07570926	0.9163583
PSN0001	0.552423288	3.265328327	0.975186132
PSN0001	0.553360426	4.171064123	0.975776731
PSN0001	0.337545571	32.55470941	0.799558033
PSN0001	0.373787155	17.42820332	1
PSN0001	0.568218786	6.482798976	0.64330688
PSN0001	0.512127221	4.415990532	0.652978711
PSN0001	0.542251728	5.824484102	0.611822164
PSN0001	0.584545768	2.233454865	0.934073614
PSN0001	0.804185848	7.033834382	1
PSN0001	0.518597847	15.95900983	0.849930259
PSN0001	0.428984083	14.0040582	0.253884239
PSN0001	0.419175965	15.90343206	0.955574032
PSN0001	0.522688952	4.393413806	0.960363711
PSN0001	0.553611554	2.041505418	1
PSN0001	0.470091789	5.872554714	0.146090074
PSN0001	0.488496355	5.485996024	1
PSN0001	0.483176464	14.86574201	0.502815784
PSN0001	0.487781998	14.51047778	0.920920959
PSN0001	0.637874228	1.594701792	0.774054062
PSN0001	0.614831729	6.950524774	0.135668043
PSN0001	0.448189578	10.85964709	0.045701796
PSN0001	0.3644391	26.94001271	0.734016302
PSN0001	0.49053105	9.030526091	1
PSN0001	0.507236835	10.77982099	0.001417413
PSN0001	0.362325723	27.07813765	0.518097724
PSN0001	0.336350977	28.01230959	0.5719091
PSN0001	0.471187116	4.826960294	0.648386207
PSN0001	0.509581357	3.632780939	0.000997956
PSN0001	0.35499089	15.45860446	1
PSN0001	0.32121661	20.68745956	0.97611555
PSN0001	0.531763486	4.718841409	1
PSN0001	0.542463529	2.997210965	1
PSN0001	0.131157482	75.18554403	1
PSN0001	-0.054692042	76.99155112	0.813249927
PSN0001	0.532207706	7.187029109	0.66122031
PSN0001	0.530719413	4.35530132	1
PSN0001	0.329616527	26.36443536	1
PSN0001	0.332984433	22.83684004	0.692813586
PSN0001	0.388159636	17.62222591	0.722296522
PSN0001	0.400297809	15.9815279	0.969363745
PSN0001	0.401469013	24.33375119	1
PSN0001	0.366985487	27.88333285	0.543447638
PSN0001	0.511033506	7.591350094	0.437012937
PSN0001	0.474900593	8.979204646	0.005293232
PSN0001	0.424612123	16.36886441	0.8106923
PSN0001	0.476728134	3.785123982	0.836560525
PSN0001	0.357362354	26.32871612	0.987798215
PSN0001	0.370654127	28.98073319	0.281484444
PSN0001	0.345968675	32.77026409	1
PSN0001	0.327364809	39.19113673	0.013759604
PSN0001	0.3665581	26.48328461	1
PSN0001	0.380335105	19.83110669	0.045893747
PSN1327	-0.032578934	77.67898382	0.551436171
PSN1327	0.024715525	78.13232154	0.952001534
PSN0918	0.38610816	20.90339936	1
PSN0918	0.3785016	24.41973741	0.922422537
PSN0547	-0.068767893	75.7995418	0.998044833
PSN0547	-0.019883058	78.29511327	0.725587432
PSN0547	-0.19899986	58.3237229	0.343530573
PSN0547	-0.315935704	38.08569908	1
PSN0332	0.188334356	59.33949903	0.260355612
PSN0332	0.102683785	71.20935079	1
PSN0332	0.160382083	76.30070376	0.618251881
PSN0332	0.246210169	74.64066528	0.883859122
53  B6	0.068291109	76.16269608	1
53  B6	0.078495258	74.67158954	0.859050384
45  E3	0.149346585	70.50684709	0.475870313
45  E3	0.114866397	77.0505323	1
177  F1	0.040884343	77.52363366	1
177  F1	0.087204472	75.86351231	0.982264875
PSN0032	-0.469738838	8.132142986	0.740558559
PSN0032	-0.493672678	6.519305039	0.919280628
PSN0032	-0.301965757	35.75433825	0.203814644
PSN0032	-0.27702099	39.09821985	0.294795822
PSN0032	-0.421413281	16.82046816	0.998710419
PSN0032	-0.419680528	16.86282394	0.488599009
PSN0032	-0.508278113	6.240209282	0.887889091
PSN0032	-0.520543618	5.091073684	0.344202573
PSN0032	-0.460684457	10.40810813	0.917707888
PSN0032	-0.412490908	17.49994714	1
PSN0032	-0.419860154	16.27809939	0.757668308
PSN0032	-0.398556257	19.72027791	0.000913502
PSN0032	-0.562589098	3.886324731	0.399787806
PSN0032	-0.517719857	8.127283134	0.186116972
PSN1138	-0.284842458	45.44268841	1
PSN1138	-0.209661863	55.31449432	0.892701133
PSN1138	0.074011567	75.90817327	0.977701267
PSN1138	0.036211353	77.77429861	0.379231455
PSN1138	-0.167644991	61.43789085	0.881987789
PSN1138	-0.195556156	57.21568639	0.924694883
PSN1138	-0.283434611	39.07119747	0.381046337
PSN1138	-0.308366542	35.27831876	0.967249013
PSN1138	-0.278619779	46.79880044	0.993727382
PSN1138	-0.234040264	51.44206174	0.222190229
PSN1138	-0.277328043	39.39344742	0.03486109
PSN1138	-0.271030799	37.97839314	0.993364396
PSN0019	-1.195158533	0	0.759336103
PSN0019	-1.154727904	0	1
PSN0019	-1.402664438	0	0.705981957
PSN0019	-1.413412578	0	0.575632209
PSN0019	-1.126335671	0	0.916415886
PSN0019	-1.132384	0	0.509533059
PSN0019	-1.183519238	0	0.066965414
PSN0019	-1.204930179	0	1
PSN0019	-1.36044994	0	0.620217127
PSN0019	-1.346800126	0	0.99250926
PSN0019	-1.162060734	0	0.080495208
PSN0019	-1.173347945	0	0.40324609
PSN0019	-1.206415115	0	0.005318354
PSN0019	-1.204793191	0	0.814989662
PSN0019	0.820733053	0	0.348103421
PSN0019	0.911556858	0	0.036961314
PSN0019	-1.221542668	0	0.304165136
PSN0019	-1.219371983	0	0.525966105
PSN0019	-1.261860676	0	0.786588938
PSN0019	-1.233657823	0	1
PSN0019	-1.264405966	0	0.991628675
PSN0019	-1.314671731	0	1
PSN0019	-1.306770694	0	0.496693225
PSN0019	-1.294938082	0	1
PSN0019	-0.770930768	0	0.979551434
PSN0019	-0.769631862	0	0.017579102
50  E4	-0.42508298	16.17792539	0.09554578
50  E4	-0.385309816	23.16071204	0.807210063
177  G2	-0.039510863	77.2092642	0.125882866
177  G2	-0.063207025	75.73437969	1
PSN0203	0.910700347	17.75760829	0.330107687
PSN0203	1.471258067	0.602764917	0.300159475
PSN0203	0.923126237	0	0.038432122
PSN0203	0.837960663	0	0.869556239
PSN0203	1.206385345	0	1
PSN0203	1.107740609	0	0.561969681
30  C10	0.450609757	38.3798374	1
30  C10	0.457511014	35.9930397	1
174  G6	0.549097375	1.252760102	8.37481E-07
174  G6	0.505485686	4.21755635	0.00706895
17  B10	0.274556395	40.44518884	0.40028301
17  B10	0.285900812	42.17516331	0.966181046
172  G11	1.772453706	0	0.643934609
172  G11	1.75725585	0	0.850319626
183  B4	0.751856927	0	0.966755572
183  B4	0.766673411	0	0.738079282
PSN0544	0.494544511	6.584709327	0.750323943
PSN0544	0.507565521	5.123491936	0.984965302
PSN0544	0.471584724	12.31140484	0.846991696
PSN0544	0.458224978	13.49204703	1
53  F5	-0.000761294	75.90801127	0.7506306
53  F5	0.010767001	77.78853473	1
167  H9	0.117650134	71.54099709	0.593595266
167  H9	0.154809374	69.10174757	0.734300787
167  A12	0.386167254	39.66543745	0.493971622
167  A12	0.601503083	38.6251868	0.626020906
186  D7	0.24393553	42.62731637	0.761870173
186  D7	0.249849845	43.4338205	0.506682319
54  C11	0.3796985	16.4882271	0.931293369
54  C11	0.358990022	19.22168449	0.827078294
54  C11	0.565581428	10.96211841	1
54  C11	0.53384577	12.40205074	0.515680145
30  E6	-0.57341828	7.29135604	1
30  E6	-0.569798773	7.893544444	0.583562796
5  G12	-1.248875029	0	1
5  G12	-1.421046366	0	0.181231424
163  A1	-0.627224613	3.889032396	0.496264666
163  A1	-0.775768189	0	0.239251611
165  F6	0.171404819	61.60034434	0.17957637
165  F6	0.178095007	58.66371631	0.595637309
PSN1723	-0.702314496	0	0.280720231
PSN1723	-0.495515735	7.984271206	0.297701692
PSN1723	-0.558788209	7.821960397	1
PSN1723	0.296126926	67.9544816	0.945792313
165  G6	0.021348197	77.4246035	0.782207793
165  G6	-0.110260625	70.76943513	0.933921046
169  G9	-0.766430243	0	0.897403152
169  G9	-0.770173119	0	0.859788678
45  H7	-0.400591984	22.38365404	1
45  H7	-0.330068613	32.39434135	0.643027535
30  F10	0.146535499	65.64554202	3.16267E-07
30  F10	0.056660754	74.98449551	0.949113261
PSN0829	0.644746645	4.219647482	0.883310736
PSN0829	0.614122815	10.83328556	0.157226267
PSN0037	1.275483517	0	0.737388066
PSN0037	1.299145611	0	0.442014316
PSN0037	1.795147862	0	0.199361208
PSN0037	1.782615123	0	0.428507878
PSN0037	1.316568392	0	0.814989662
PSN0037	1.327421355	0	0.183138298
PSN0037	0.876684811	0	0.939252534
PSN0037	0.929460424	0	0.00683578
PSN0054	1.795684119	0	0.994938042
PSN0054	1.849999834	0	0.80362735
PSN0054	1.752975739	0	1
PSN0054	1.760207936	0	0.541795243
PSN0054	1.894176115	0	0.740189477
PSN0054	1.879514272	0	0.752050086
PSN0073	1.256952282	0	0.142605696
PSN0073	1.143062536	0	0.278101552
PSN0073	1.045773499	0	0.097344485
PSN0073	0.996676615	0	1
PSN0050	1.674332739	0	0.992544821
PSN0050	1.57968435	0	0.994247101
PSN0050	1.670732248	0	1
PSN0050	1.70361881	0	0.876623759
PSN0050	1.841624252	0	0.89693194
PSN0050	1.793071216	0	1
PSN0050	1.570321372	0	0.007659813
PSN0050	1.534491782	0	0.873088848
PSN0050	1.628068679	0	0.110290997
PSN0050	1.737280678	0	0.016742535
PSN0050	1.670325928	0	0.253675431
PSN0050	1.552170634	0	0.994304898
PSN0682	-0.294927278	42.14416434	1
PSN0682	-0.251795584	50.62378486	0.315400283
PSN0682	-0.331657188	31.26718771	0.841040459
PSN0682	-0.324612127	32.91962596	1
PSN0767	0.565495566	0	0.102216776
PSN0767	0.611613957	0	0.243943554
PSN0767	0.265480661	45.90957185	0.893279423
PSN0767	0.276466648	51.20133142	0.015113928
PSN0767	0.456957416	7.456697967	0.673601892
PSN0767	0.501720995	1.944219586	1
PSN0767	0.533652558	5.577336468	0.197254517
PSN0767	0.540400957	4.270978123	0.820904455
PSN0767	0.244359074	64.70014646	0.062650979
PSN0767	0.254227865	61.95847911	0.156327255
PSN0767	0.496133749	2.481637161	0.966755572
PSN0767	0.513371154	3.884723587	0.606926695
PSN0767	0.522485781	6.799134131	1
PSN0767	0.465717939	11.33435502	0.798462023
166  A8	0.137301215	70.2821361	0.680480803
166  A8	0.191768032	66.91206727	0.462190889
177  D10	-0.087460743	74.99144815	0.666548019
177  D10	-0.059650912	77.31269314	0.214669244
50  G5	-0.153290339	65.19709406	0.673777096
50  G5	-0.1537854	64.56846466	0.269367094
55  B7	0.140363039	65.7692287	1
55  B7	0.155440262	65.32805462	0.839591154
57  A4	0.223208018	53.50758895	0.024585699
57  A4	0.372615908	37.1854113	0.065656895
PSN1423	-0.201019469	55.93614442	0.931247029
PSN1423	-0.277087905	42.59236627	0.259523251
50  B11	-0.084121251	71.97019598	0.911336055
50  B11	-0.061509201	74.18705935	0.010677769
53  F12	-0.323946354	32.55995137	0.886537887
53  F12	-0.078852611	71.20033645	0.001287304
177  F9	0.331897053	19.40822471	0.437311606
177  F9	0.311475092	27.06317309	0.306303058
45  D5	0.26650218	53.94982045	1
45  D5	0.296704733	52.7186274	0.933298006
170  C5	1.77900259	0	0.244066848
170  C5	1.745835335	0	0.640579125
185  E8	-0.222965523	56.55636478	0.204524589
185  E8	-0.193458711	58.5297628	1
165  H11	0.488394345	72.05848149	0.643934609
165  H11	0.325428478	76.5456875	1
PSN0981	0.143180797	68.76622712	0.939170898
PSN0981	0.086403633	74.87883588	0.000122608
PSN1139	-0.15745507	64.96239353	0.18577673
PSN1139	-0.087456412	74.19257162	0.4661719
PSN1139	0.133475161	76.5222959	0.645616846
PSN1139	0.343663035	67.60738689	0.736836654
7  F4	0.221952478	48.5080372	0.546077316
7  F4	0.224094968	49.84502907	0.150401722
PSN1719	0.30812815	22.92319868	0.539942143
PSN1719	0.256071636	41.43526416	0.698818607
PSN1719	0.461838226	26.02589261	0.647255764
PSN1719	0.486009937	25.54856217	0.415628718
178  G8	-1.253497938	0	0.937159945
178  G8	-1.246918616	0	0.105303382
PSN0069	-0.923038769	0	1
PSN0069	-0.908052968	0	0.937961923
PSN0069	-0.883210958	0	0.041182374
PSN0069	-0.885008955	0	0.505820935
PSN0069	-1.244571752	0	0.947986234
PSN0069	-1.229629502	0	0.277757286
52  A1	0.440514962	15.92769604	1
52  A1	0.360737816	39.9585926	1
169  H3	0.280259891	42.80062033	0.711529116
169  H3	0.25692735	40.37679965	0.415206333
7  F6	-0.496214948	6.791357109	0.901021071
7  F6	-0.485793095	6.924061394	1
PSN0528	-0.023754743	75.85965441	1
PSN0528	-0.048213945	76.18303118	0.910602557
PSN0528	0.054713239	76.37562227	0.970733467
PSN0528	0.053162723	76.34008704	1
PSN0528	-0.406951048	16.09491595	0.987798215
PSN0528	-0.396372884	16.58905461	0.881066082
170  A2	-1.22285055	0	0.909106505
170  A2	-1.2376345	0	0.979551434
179  D9	0.10007509	73.90665899	0.437248427
179  D9	0.146744011	70.81417247	0.630498962
183  D6	-0.65157448	3.359530096	0.158521968
183  D6	-0.655359814	2.454994582	0.717902144
PSN0432	0.387165006	74.79636979	0.76460978
PSN0432	0.45054059	70.41449375	0.87202466
PSN0432	-0.738490476	0	0.781073518
PSN0432	-0.700776856	0	0.802221914
25  D8	1.013313202	2.191099071	1
25  D8	0.450983092	30.17849316	0.273946935
57  C12	-0.07584243	71.64581004	0.966755572
57  C12	0.099689523	78.08052067	0.800873299
PSN0739	-0.017555373	78.50025855	0.910339444
PSN0739	0.00856659	78.1723135	0.775498139
PSN0739	0.153269493	77.52321708	1
PSN0739	0.020965521	73.48565984	0.791029723
PSN0739	-0.026241426	77.90316558	0.911336055
PSN0739	-0.04483472	76.89198979	1
PSN0739	0.285801717	40.97653818	0.870957994
PSN0739	0.310104346	34.02410378	0.271297495
PSN1503	0.410474971	21.98531708	0.915610243
PSN1503	0.3394708	24.87392158	1
PSN1503	0.288851377	39.71271752	0.576046652
PSN1503	0.295383078	41.08193575	0.533262156
54  G6	-0.959923194	0	0.878037952
54  G6	-0.891066221	0	0.734578826
54  G6	-0.895452748	0	0.124636517
54  G6	-0.900792771	0	0.567511571
PSN0007	-0.636418038	0	0.497536297
PSN0007	-0.650157421	0	0.885879086
PSN0007	-0.522280163	6.406617788	0.941240502
PSN0007	-0.516880526	6.486171154	1
PSN0007	-0.550924528	4.3867168	1
PSN0007	-0.543236391	5.658600745	0.851918872
PSN0007	-0.656322972	0	0.355615916
PSN0007	-0.643276481	0.063526375	1
PSN0007	-0.640464783	0	1
PSN0007	-0.630055936	0	0.049493173
PSN0007	-0.627589419	0	0.36980735
PSN0007	-0.585317046	1.561382251	0.227178809
PSN0007	-0.574618414	5.275556329	0.60894966
PSN0007	-0.530796838	7.524482608	1
PSN0007	-0.510790483	7.098303702	0.859050384
PSN0007	-0.479138414	10.66395825	1
PSN0007	-0.558855008	3.8912617	0.531747606
PSN0007	-0.521834207	7.451719022	0.899704987
PSN0007	-0.590015463	2.506966162	1
PSN0007	-0.53529644	6.145012585	0.887316323
PSN0007	-0.466255645	15.02917107	0.227269016
PSN0007	-0.501452539	10.22877751	0.429544401
PSN0007	-0.586574656	1.20612244	1
PSN0007	-0.599323179	0.998429952	0.484526829
PSN0007	-0.480213054	8.69565177	0.621583707
PSN0007	-0.455137484	11.63234666	0.756681604
PSN0007	-0.625822253	0	1
PSN0007	-0.628721301	0	1
PSN0007	-0.647964236	0	0.666548019
PSN0007	-0.659751628	0	0.157356707
PSN0007	-0.687350396	0	0.407638021
PSN0007	-0.621775449	1.177473546	0.871199169
PSN0007	-0.556351791	1.602269937	0.036832921
PSN0007	-0.601930211	0	0.1036287
PSN0007	-0.491245275	9.702539821	0.328272877
PSN0007	-0.52548017	6.280765562	0.856685238
PSN0007	-0.494658274	6.899503218	1
PSN0007	-0.461365677	11.02920188	0.44381351
PSN0007	-0.653063017	0	0.006311731
PSN0007	-0.685305926	0	1
PSN0007	-0.58264334	0.608025392	0.640574857
PSN0007	-0.630807909	0	0.104441997
PSN0007	-0.433457065	16.57851509	1
PSN0007	-0.444339564	14.37502285	0.329928131
PSN0007	-0.718952922	0	0.009847269
PSN0007	-0.663619012	0	1
PSN0007	-0.701371936	0	0.811633164
PSN0007	-0.702961765	0	0.22142874
PSN0007	-0.480610617	9.036426186	0.767739301
PSN0007	-0.462430695	10.44912374	0.142778956
PSN0007	-0.501996126	7.888644456	0.79599441
